Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
FuselageGeom,0.091127,0.024100,0.001184,0.000325
Wings,0.117788,0.053071,0.000296,0.000139
HStab,0.005168,0.001854,0.000007,0.000002
HStab,0.005168,0.002053,0.000007,0.000003
VStab,0.005163,0.001439,0.000007,0.000002
MeshGeom,0.089921,0.059531,0.001167,0.000803
MeshGeom,0.110611,0.054390,0.000289,0.000148
MeshGeom,0.004896,0.002708,0.000008,0.000004
MeshGeom,0.004896,0.003025,0.000008,0.000005
MeshGeom,0.004830,0.003170,0.000009,0.000006
Totals,0.439569,0.205341,0.002980,0.001437

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
FuselageGeom_S_Surf0,0.091127,0.024100
Wings_S_Surf0,0.058894,0.027585
Wings_S_Surf1,0.058894,0.025486
HStab_S_Surf0,0.005168,0.001854
HStab_S_Surf1,0.005168,0.002053
VStab_S_Surf0,0.005163,0.001439
MeshGeom_S_Surf0,0.089921,0.059531
MeshGeom_S_Surf0,0.110611,0.054390
MeshGeom_S_Surf0,0.004896,0.002708
MeshGeom_S_Surf1,0.004896,0.003025
MeshGeom_S_Surf0,0.004830,0.003170
